1932,Aug,TX,4,941,,Freeport
1932,Sep,AL,1,979,,
1933,Jul,TX,2,975,,
1933,Aug,NC,2,971,,
1933,Sep,TX,3,949,,
1933,Sep,FL,3,948,,
1933,Sep,NC,3,957,,
1934,Jun,AL,3,962,,
1934,Jul,TX,2,975,,
1935,Sep,FL,5,892,,LaborDay
1935,Nov,FL,2,973,,
1936,Jun,TX,1,987,,
1936,Jul,FL,3,964,,
1936,Sep,NC,2,,,
1938,Aug,AL,1,985,,
1938,Sep,NY,3,946,,GreatNewEngland
1939,Aug,FL,1,985,,
1940,Aug,TX,2,972,,
1940,Aug,GA,2,970,,
1941,Sep,TX,3,958,,
1941,Oct,FL,2,975,,
1942,Aug,TX,1,992,,
1942,Aug,TX,3,950,,
1943,Jul,TX,2,969,,
1944,Aug,NC,1,990,,
1944,Sep,NC,3,947,,GreatAtlantic
1944,Oct,FL,3,962,,
1945,Jun,FL,1,985,,
1945,Aug,TX,2,967,,
1945,Sep,FL,3,951,,
1946,Oct,FL,1,980,,
1947,Aug,TX,1,992,,
1947,Sep,FL,4,940,,
1947,Oct,GA,2,974,,
1948,Sep,AL,1,987,,
1948,Sep,FL,3,963,,
1948,Oct,FL,2,975,,
1949,Aug,NC,1,980,,
1949,Aug,FL,3,954,,
1949,Oct,TX,2,972,,
1950,Aug,AL,1,980,,Baker
1950,Sep,FL,3,958,,Easy
1950,Oct,FL,3,955,,King
1952,Aug,SC,1,985,,Able
1953,Aug,NC,1,987,,Barbara
1953,Sep,ME,1,,,Carol
1953,Sep,FL,1,985,,Florence
1954,Aug,NY,3,960,,Carol
1954,Sep,MA,3,954,,Edna
1954,Oct,SC,4,938,,Hazel
1955,Aug,NC,3,962,,Connie
1955,Aug,NC,1,987,,Diane
1955,Sep,NC,3,960,,Ione
1956,Sep,AL,2,975,,Flossy
1957,Jun,TX,4,945, ,Audrey
1958,Sep,NC,3,946,,Helene
1959,Jul,SC,1,993,,Cindy
1959,Jul,TX,1,984,,Debra
1959,Sep,SC,3,950,,Gracie
1960,Sep,FL,4,930,,Donna
1960,Sep,MS,1,981,,Ethel
1961,Sep,TX,4,931,,Carla
1963,Sep,TX,1,996,,Cindy
1964,Aug,FL,2,968,,Cleo
